Domande,Risposte
Com'è nato il panettone milanese?,"Sono diverse le leggende sulla sua nascita. La più nota è quella secondo cui sarebbe merito del garzone di cucina di Ludovico il Moro, il quale per rimediare a un dessert bruciato si sarebbe inventato questo pane dolce con burro, canditi e pasta avanzata. Da qui il nome “pan di Toni“.
Anche se l’origine più probabile è un’altra: il panettone sarebbe nato dall’antica usanza dei milanesi di servire in tavola, al termine del Cenone, il Pane di Natale. Una portata che aveva valore augurale e che, considerate le dimensioni, veniva chiamata anche pan grande. Da qui, l’attuale panettone."
Quanti grammi di zucchero ci sono nel torrone?,"Per 100 grammi, 455 kcal"
Quante kcal contiene la pasta di mandorle?,"Per 100 grammi, 455 kcal"
Da dove arriva la forma del pandoro veronese?,"La forma del pandoro veronese è opera di un artista, il pittore impressionista Angelo Dall’Oca Bianca."
Da dove deriva il nome del pandoro?,"Il nome del Pandoro deriva dal veneto “pan de oro”, e forse richiama la medievale abitudine dell’élite
veneziana di impreziosire il lievitato di forma conica con foglie dorate. Una leggenda narra invece che un
garzone, prendendo una fetta illuminata dal sole, abbia esclamato “l’è proprio un pan de oro”."
Dammi ingredienti e ricetta del salame di cioccolato,"Ingredienti:

2 uova

80 grammi di burro

100 grammi di zucchero

60 grammi di cacao amaro in polvere

200 grammi di biscotti secchi

Preparazione:

Fai sciogliere il burro in un tegame e spezzetta grossolanamente i biscotti. Mescola con cura le uova con lo zucchero. Aggiungi il burro sciolto, il cacao e i biscotti. Versa il composto su un foglio di alluminio e chiudilo dando la forma di un salame. Metti in frigorifero per qualche ora (deve diventare duro, in modo che si posso servire tagliandolo a fette). Ottimo da solo ma anche servito con gelato alla crema o panna montata."
Quali sono gli ingredienti dei biscotti alla cannella?,"350 grammi di mandorle grattugiate

3 albumi d'uovo

300 grammi di zucchero 

un cucchiaio e mezzo di cannella in polvere"
Come vengono chiamati a Napoli gli struffoli?,“diavullilli” (diavoletti).
Chi taglia la prima fetta del pandolce genovese?,Il più anziano tra i commensali
Da cosa è composto il cavalluccio?,E' composto di miele e di noci tritate o pestate
