,domanda,risposta,embedding_model,llm_model,response_time,retrieval_effectiveness,llm_semantic_effectiveness,llm_syntax_grammar_effectiveness
0,Com'è nato il panettone milanese?,"Il panettone milanese è nato grazie al garzone di cucina di Ludovico il Moro, che inventò questo pane dolce con burro e canditi.",all-mpnet-base-v2,declare-lab/flan-alpaca-base,4751,1,1,1
1,Quanti grammi di zucchero ci sono nel torrone?,"Nella pasta di mandorle sono presenti circa 78 grammi di zucchero. I dolci hanno un peso totale medio, e forniscono in media 91,6 g di carboidrati per ogni pasto con le rispettive calorie giornaliere (apporto calorico).",all-mpnet-base-v2,declare-lab/flan-alpaca-base,7247,0,1,1
2,Quante kcal contiene la pasta di mandorle?,"La pasta di mandorle contiene un totale di 479,8 grammi, che equivalgono a 24,4 kg per tavoletta quadrata composta da tavolette di cioccolato da 20 cm quadrati e 552 mg/kg di zucchero in una porzione",all-mpnet-base-v2,declare-lab/flan-alpaca-base,5377,0,1,1
3,Da dove arriva la forma del pandoro veronese?,"La forma del pandoro veronese deriva da un artista, Angelo Dall'Oca Bianca. È stato creato da Domenico Melegatti nel 1894 ed è utilizzato da secoli come parte della sua tradizione dei dolci natalizi.",all-mpnet-base-v2,declare-lab/flan-alpaca-base,9083,1,1,1
4,Da dove deriva il nome del pandoro?,"Il nome Pandoro deriva dal veneziano ""pan de oro"" e richiama forse l'abitudine medievale della Venezia d'élite di impreziosire con foglie dorate il lievitato di forma conica.",all-mpnet-base-v2,declare-lab/flan-alpaca-base,6050,1,1,1
5,Dammi ingredienti e ricetta del salame di cioccolato,"Ingredienti: 2 uova, 80 grammi di burro e 100 grammi di zucchero. Istruzioni per preparare il salame di cioccolato (Getty Images) - Sciogliere il burro in una padella a fuoco medio finché non sarà dorato su entrambi i lati; aggiungere il cacao in polvere a piacere. Mescolare il tutto con uno sbattitore elettrico o frullare fino a ottenere un composto omogeneo prima di aggiungere altri ingredienti come sale, pepe, ecc.",all-mpnet-base-v2,declare-lab/flan-alpaca-base,8939,1,1,1
6,Quali sono gli ingredienti dei biscotti alla cannella?,"Gli ingredienti dei biscotti alla cannella sono: 350 grammi, farina di mandorle e zucchero. Le istruzioni per preparare l'impasto includono mescolare insieme tutti e tre i tipi di latticello in una ciotola fino a ottenere un composto omogeneo; aggiungere poi una tazza a testa di latte o cacao in polvere (o altro liquido) per renderlo cremoso ma non troppo denso.",all-mpnet-base-v2,declare-lab/flan-alpaca-base,7071,0,0,0
7,Come vengono chiamati a Napoli gli struffoli?,Struffoli napoletani. A Napoli i dolci sono una parte importante delle festività natalizie e possono essere gustati da tutte le persone indipendentemente dall'età o dal sesso.,all-mpnet-base-v2,declare-lab/flan-alpaca-base,8261,0,1,1
8,Chi taglia la prima fetta del pandolce genovese?,"Il più grande taglia la prima fetta del pandolce genovese. Per molti è consuetudine conservarlo il 3 febbraio, giorno di San Biagio, per proteggere la gola e tenerla al caldo in questo periodo.",all-mpnet-base-v2,declare-lab/flan-alpaca-base,6766,0,1,1
9,Da cosa è composto il cavalluccio?,"Il cavalluccio marino è realizzato con una varietà di materiali, tra cui cotone idrofilo e seta. Ha una consistenza insolitamente morbida che può essere utilizzata per renderlo più appetitoso rispetto ad altri tipi di pane o ricette di pasticceria.",all-mpnet-base-v2,declare-lab/flan-alpaca-base,6015,0,1,1
10,Com'è nato il panettone milanese?,"Lo sguattero di Ludovico il Moro, che per rimediare ad un dolce bruciato, inventò questo pane dolce con burro, canditi e avanzi di pasta.",all-mpnet-base-v2,google/flan-t5-base,4803,1,0,1
11,Quanti grammi di zucchero ci sono nel torrone?,"91,6 g di zuccheri, 0 g di lipidi e 0 g di proteine. (I dolci non sono tutti uguali ma, generalmente possiamo dire che pesano 5 g ciascuno e apportano circa 18 kcal)",all-mpnet-base-v2,google/flan-t5-base,9011,0,1,1
12,Quante kcal contiene la pasta di mandorle?,"455 kcal. (quantità di proteine, grassi e zuccheri) per un apporto calorico di 455 kcal. (quantità di grassi, grassi e proteine)",all-mpnet-base-v2,google/flan-t5-base,5542,1,0,1
13,Da dove arriva la forma del pandoro veronese?,"Angelo Dall'Oca Bianca. La versione moderna del pandoro, così come lo conosciamo oggi, risale al XIX secolo ed è l'evoluzione del nadalin, dolce veronese (con ricetta e forma simile, ma inferiore) che nel 2012 ha ottenuto anche il riconoscimento De .Co.",all-mpnet-base-v2,google/flan-t5-base,10391,1,0,1
14,Da dove deriva il nome del pandoro?,"""pan de oro"" veneziano e richiama forse l'abitudine medievale dell'élite veneziana di impreziosire il lievitato di forma conica con foglie dorate",all-mpnet-base-v2,google/flan-t5-base,5647,1,1,1
15,Dammi ingredienti e ricetta del salame di cioccolato,"2 uova, 80 grammi di burro, 100 grammi di zucchero, 60 grammi di cacao amaro in polvere, 200 grammi di biscotti secchi, Preparazione: Fate sciogliere il burro in una padella e spezzettate i biscotti in pezzi grossolani. Mescolare con cura le uova con lo zucchero. Aggiungete il burro fuso, il cacao e i biscotti. Cuocere in forno preriscaldato a 250°C per 35 minuti.",all-mpnet-base-v2,google/flan-t5-base,10018,1,1,1
